candidate_pair_key,cascade_index,event_t,has_identity,has_kappa,scan_id,variant
handle_candidate|0 2 3|4 5 6,1,6,True,False,0,no_backreaction
handle_candidate|0 2 3|1 4 6,1,6,True,False,0,no_backreaction
handle_candidate|0 2 3|1 5 6,1,6,True,False,0,no_backreaction
handle_candidate|0 2 3|4 5 6,1,7,True,False,1,no_backreaction
handle_candidate|0 2 3|1 4 6,1,7,True,False,1,no_backreaction
handle_candidate|0 2 3|1 5 6,1,7,True,False,1,no_backreaction
handle_candidate|0 2 3|4 5 6,1,8,True,False,2,no_backreaction
handle_candidate|0 1 3|2 7 8,1,8,True,False,2,no_backreaction
handle_candidate|0 2 3|1 4 6,1,8,True,False,2,no_backreaction
handle_candidate|0 2 3|1 5 6,1,8,True,False,2,no_backreaction
handle_candidate|0 1 3|2 8 9,1,9,True,False,3,no_backreaction
handle_candidate|0 2 3|4 5 6,1,9,True,False,3,no_backreaction
handle_candidate|0 2 3|1 4 6,1,9,True,False,3,no_backreaction
handle_candidate|0 2 3|1 5 6,1,9,True,False,3,no_backreaction
handle_candidate|0 1 3|2 8 9,1,10,True,False,4,no_backreaction
handle_candidate|0 2 3|4 5 6,1,10,True,False,4,no_backreaction
handle_candidate|0 2 3|1 4 6,1,10,True,False,4,no_backreaction
handle_candidate|0 2 3|1 5 6,1,10,True,False,4,no_backreaction
handle_candidate|0 1 3|2 8 9,1,11,True,False,5,no_backreaction
handle_candidate|0 2 3|4 5 6,1,11,True,False,5,no_backreaction
handle_candidate|0 2 3|1 4 6,1,11,True,False,5,no_backreaction
handle_candidate|3 4 5|8 10 11,1,11,True,False,5,no_backreaction
handle_candidate|0 2 3|1 5 6,1,11,True,False,5,no_backreaction
handle_candidate|0 1 3|2 8 9,1,12,True,False,6,no_backreaction
handle_candidate|0 2 3|4 5 6,1,12,True,False,6,no_backreaction
handle_candidate|0 2 3|1 4 6,1,12,True,False,6,no_backreaction
handle_candidate|3 4 5|8 10 11,1,12,True,False,6,no_backreaction
handle_candidate|0 2 3|1 5 6,1,12,True,False,6,no_backreaction
handle_candidate|2 4 7|3 11 12,1,12,True,False,6,no_backreaction
handle_candidate|1 2 4|3 10 11,1,11,False,True,5,no_backreaction
handle_candidate|2 8 9|3 10 11,1,11,False,True,5,no_backreaction
