C_lock_count,QP_count,beta2_count,bin,bin_type,count,kappa_flip_count,median_C_lock,median_beta_delta_min,median_directed_imbalance,median_flip_abs,median_transverse_complementarity,variant
3,21,7,excellent<=0.2,flip_bin,21,21,0.4681646059723449,0.0,0.1573858437223629,0.1014650642067063,0.4683738995670554,real_growth
2,12,1,good<=0.4,flip_bin,12,2,0.5307105127657947,0.0,0.1601744330561272,0.29534990329097305,0.3204745551756131,real_growth
1,24,8,weak<=0.7,flip_bin,25,0,0.844704018236015,0.0,0.1217683738774345,0.6189544321074233,0.2961812844572379,real_growth
13,138,72,bad>0.7,flip_bin,148,0,0.6199550960990661,0.0,0.1968491415107755,0.999999999998735,0.3417300614853196,real_growth
19,14,10,excellent<=0.2,C_bin,19,3,0.1821204140905839,1.0,0.0839068738958173,0.9999999999988798,0.348343497184935,real_growth
0,38,19,good<=0.4,C_bin,39,9,0.2719752654958215,0.0,0.0696460764089455,0.9999999999983656,0.3434960465837576,real_growth
0,63,28,weak<=0.7,C_bin,64,7,0.5671924774837644,0.0,0.3536850165518627,0.9999999999970348,0.3555702898100356,real_growth
0,80,31,bad>0.7,C_bin,84,4,0.8417525175574327,0.0,0.1391242147256595,0.9999999999982764,0.3361209044330948,real_growth
2,21,8,excellent<=0.2,flip_bin,21,21,0.276429154134261,0.0,0.1413239512352321,0.0592437189294597,0.7002365910822657,no_backreaction
0,14,1,good<=0.4,flip_bin,14,7,0.9082745035104552,0.0,0.1337546542822367,0.26832682824881293,0.2961812844572379,no_backreaction
2,33,14,weak<=0.7,flip_bin,34,0,0.8051665970809562,0.0,0.1850777804345124,0.49697258045882114,0.3475469136016175,no_backreaction
11,157,85,bad>0.7,flip_bin,167,0,0.5827849925635981,1.0,0.32542281650068,0.9999999999987714,0.3417300614853196,no_backreaction
15,15,6,excellent<=0.2,C_bin,15,2,0.1338047414783452,0.0,0.2633215407828071,0.999999999997398,0.2852374382953288,no_backreaction
0,42,23,good<=0.4,C_bin,44,10,0.28027674507929323,1.0,0.1262870014427758,0.9999999999982468,0.348343497184935,no_backreaction
0,85,47,weak<=0.7,C_bin,90,9,0.5802963122490564,1.0,0.4265547577540351,0.999999999998128,0.3496754174606368,no_backreaction
0,83,32,bad>0.7,C_bin,87,7,0.9082745035104552,0.0,0.1955702488706007,0.9999999999977528,0.2961812844572379,no_backreaction
0,0,0,excellent<=0.2,flip_bin,0,0,nan,nan,nan,nan,nan,strict_symmetrized_control
0,0,0,good<=0.4,flip_bin,0,0,nan,nan,nan,nan,nan,strict_symmetrized_control
0,0,0,weak<=0.7,flip_bin,0,0,nan,nan,nan,nan,nan,strict_symmetrized_control
0,0,0,bad>0.7,flip_bin,0,0,nan,nan,nan,nan,nan,strict_symmetrized_control
0,0,0,excellent<=0.2,C_bin,0,0,nan,nan,nan,nan,nan,strict_symmetrized_control
0,0,0,good<=0.4,C_bin,0,0,nan,nan,nan,nan,nan,strict_symmetrized_control
0,0,0,weak<=0.7,C_bin,0,0,nan,nan,nan,nan,nan,strict_symmetrized_control
0,0,0,bad>0.7,C_bin,0,0,nan,nan,nan,nan,nan,strict_symmetrized_control
